experiment,mode,seed,shots,max_rounds,gamma_x,chi,sigma_z,zeta,eta_t,t_m,t_r,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_time_median,lifetime_time_ci_low,lifetime_time_ci_high,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ci_low,gamma_lphi_ci_high,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
phase_diagram_gain,full_syndrome,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,1,2,2,62.891666666666666,80.0,58.13549058344177,67.64784274989157,62.891666666666666,0.36666666666666664,0.6333333333333333,62.63333333333333,1.0041245343267695,1.0,1.0,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,2,2,2,64.74166666666666,,,,,0.3416666666666667,,,2.0147821576763483,1.0294156618523915,2.0065062537558545,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,3,2,2,59.975,,,,,0.4583333333333333,,,3.1034928848641656,0.9536239565390222,3.0907450010121997,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,4,2,2,54.75833333333333,,,,,0.575,,,4.117167919799498,0.8706770902345303,4.100256272056848,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,2,2,2,73.66666666666667,,,,,0.15833333333333333,,,2.0068104426787743,1.171326354842984,1.9985672833143857,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,3,2,2,69.875,,,,,0.25,,,3.089535740604274,1.1110374983437128,3.076845187012286,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,4,2,2,71.53333333333333,,,,,0.20833333333333334,,,4.031939877876938,1.1374055916258117,4.015378312193331,,,,,,,,crossover=0
phase_diagram_gain,full_syndrome,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,1,4,4,14.566666666666666,10.5,12.263074405178202,16.87025892815513,14.566666666666666,0.9916666666666667,0.008333333333333304,14.308333333333334,1.0180547466511356,1.0,1.0,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,2,4,4,18.45,,,,,0.9916666666666667,,,2.0749765698219305,1.2665903890160182,2.0381777862610155,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,3,4,4,22.583333333333332,,,,,0.975,,,3.1548311990686844,1.5503432494279175,3.098881675515407,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,4,4,4,25.0,,,,,0.9666666666666667,,,4.291845493562231,1.7162471395881007,4.215731528859469,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,2,4,4,66.88333333333334,,,,,0.26666666666666666,,,2.0090112640801006,4.591533180778033,1.9733823457811974,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,3,4,4,63.95,,,,,0.35833333333333334,,,3.088128772635815,4.390160183066362,3.0333621868510843,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,4,4,4,69.95833333333333,,,,,0.25833333333333336,,,4.02831094049904,4.802631578947368,3.9568706434993435,,,,,,,,crossover=0
phase_diagram_gain,full_syndrome,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,1,2,2,62.891666666666666,80.0,58.13549058344177,67.64784274989157,62.891666666666666,0.36666666666666664,0.6333333333333333,62.63333333333333,1.0041245343267695,1.0,1.0,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,2,2,2,64.74166666666666,,,,,0.3416666666666667,,,2.0147821576763483,1.0294156618523915,2.0065062537558545,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,3,2,2,59.975,,,,,0.4583333333333333,,,3.1034928848641656,0.9536239565390222,3.0907450010121997,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,4,2,2,54.75833333333333,,,,,0.575,,,4.117167919799498,0.8706770902345303,4.100256272056848,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,2,2,2,73.66666666666667,,,,,0.15833333333333333,,,2.0068104426787743,1.171326354842984,1.9985672833143857,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,3,2,2,69.875,,,,,0.25,,,3.089535740604274,1.1110374983437128,3.076845187012286,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,4,2,2,71.53333333333333,,,,,0.20833333333333334,,,4.031939877876938,1.1374055916258117,4.015378312193331,,,,,,,,crossover=0
phase_diagram_gain,full_syndrome,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,1,4,4,14.566666666666666,10.5,12.263074405178202,16.87025892815513,14.566666666666666,0.9916666666666667,0.008333333333333304,14.308333333333334,1.0180547466511356,1.0,1.0,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,2,4,4,18.45,,,,,0.9916666666666667,,,2.0749765698219305,1.2665903890160182,2.0381777862610155,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,3,4,4,22.583333333333332,,,,,0.975,,,3.1548311990686844,1.5503432494279175,3.098881675515407,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,4,4,4,25.0,,,,,0.9666666666666667,,,4.291845493562231,1.7162471395881007,4.215731528859469,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,2,4,4,66.88333333333334,,,,,0.26666666666666666,,,2.0090112640801006,4.591533180778033,1.9733823457811974,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,3,4,4,63.95,,,,,0.35833333333333334,,,3.088128772635815,4.390160183066362,3.0333621868510843,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,4,4,4,69.95833333333333,,,,,0.25833333333333336,,,4.02831094049904,4.802631578947368,3.9568706434993435,,,,,,,,crossover=0
